,user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,tariff_plan,date_start,total_wait,cluster,efficiency
64,166377,2019-08-23,out,False,880026,True,11,0,54,B,2019-08-01,54,0,High
65,166377,2019-08-23,in,False,880028,False,1,41,54,B,2019-08-01,13,0,High
66,166377,2019-08-23,out,False,880028,False,24,2242,2413,B,2019-08-01,171,0,High
67,166377,2019-08-23,out,False,880028,True,24,0,597,B,2019-08-01,597,0,High
68,166377,2019-08-23,out,False,880026,False,43,3435,3654,B,2019-08-01,219,0,High
69,166377,2019-08-23,in,False,880026,False,1,45,52,B,2019-08-01,7,0,High
70,166377,2019-08-26,out,True,880022,True,3,0,0,B,2019-08-01,0,1,Low
71,166377,2019-08-26,in,False,880028,False,2,285,302,B,2019-08-01,17,0,High
72,166377,2019-08-26,out,False,880026,False,28,3298,3395,B,2019-08-01,97,0,High
73,166377,2019-08-26,out,False,880028,True,4,0,241,B,2019-08-01,241,0,High
74,166377,2019-08-26,out,False,880022,False,3,1079,1093,B,2019-08-01,14,1,Low
75,166377,2019-08-26,out,False,880028,False,5,426,487,B,2019-08-01,61,0,High
76,166377,2019-08-26,out,False,880026,True,2,0,46,B,2019-08-01,46,0,High
77,166377,2019-08-27,out,False,880026,False,22,3242,3329,B,2019-08-01,87,0,High
78,166377,2019-08-27,out,False,880026,True,5,0,119,B,2019-08-01,119,0,High
79,166377,2019-08-27,out,False,880028,True,27,0,983,B,2019-08-01,983,0,High
80,166377,2019-08-27,out,False,880028,False,20,2784,2979,B,2019-08-01,195,0,High
81,166377,2019-08-28,out,False,880026,True,11,0,129,B,2019-08-01,129,0,High
82,166377,2019-08-28,out,False,880026,False,16,1783,1868,B,2019-08-01,85,0,High
83,166377,2019-08-28,out,False,880028,False,19,1485,1777,B,2019-08-01,292,0,High
84,166377,2019-08-28,out,False,880028,True,29,0,993,B,2019-08-01,993,0,High
85,166377,2019-08-29,out,False,880026,False,22,3244,3396,B,2019-08-01,152,0,High
86,166377,2019-08-29,in,False,880026,False,1,48,52,B,2019-08-01,4,0,High
87,166377,2019-08-29,out,False,880028,True,16,0,662,B,2019-08-01,662,0,High
88,166377,2019-08-29,out,False,880026,True,23,0,321,B,2019-08-01,321,0,High
89,166377,2019-08-29,out,False,880028,False,25,2323,2595,B,2019-08-01,272,0,High
90,166377,2019-08-30,out,False,880028,True,8,0,384,B,2019-08-01,384,0,High
91,166377,2019-08-30,out,False,880026,False,24,1653,1864,B,2019-08-01,211,0,High
92,166377,2019-08-30,in,False,880028,False,1,45,65,B,2019-08-01,20,0,High
93,166377,2019-08-30,out,False,880022,False,1,239,257,B,2019-08-01,18,1,Low
94,166377,2019-08-30,out,False,880028,False,14,989,1099,B,2019-08-01,110,0,High
95,166377,2019-08-30,out,False,880026,True,11,0,292,B,2019-08-01,292,0,High
96,166377,2019-09-02,in,False,880028,False,2,66,75,B,2019-08-01,9,0,High
97,166377,2019-09-02,in,False,880026,False,1,31,34,B,2019-08-01,3,0,High
98,166377,2019-09-02,out,False,880026,False,16,1853,1983,B,2019-08-01,130,0,High
99,166377,2019-09-02,out,False,880026,True,6,0,168,B,2019-08-01,168,0,High
100,166377,2019-09-02,out,False,880028,False,20,2529,2687,B,2019-08-01,158,0,High
101,166377,2019-09-02,out,False,880028,True,29,0,1345,B,2019-08-01,1345,0,High
102,166377,2019-09-02,out,True,880020,True,2,0,0,B,2019-08-01,0,0,High
103,166377,2019-09-02,out,False,880020,True,2,0,3,B,2019-08-01,3,0,High
104,166377,2019-09-03,out,False,880028,False,17,1573,1733,B,2019-08-01,160,0,High
105,166377,2019-09-03,out,False,880026,False,23,2054,2198,B,2019-08-01,144,0,High
106,166377,2019-09-03,out,False,880026,True,8,0,248,B,2019-08-01,248,0,High
107,166377,2019-09-03,out,False,880028,True,18,0,416,B,2019-08-01,416,0,High
108,166377,2019-09-04,out,True,880022,True,1,0,2,B,2019-08-01,2,1,Low
109,166377,2019-09-04,out,False,880026,True,7,0,164,B,2019-08-01,164,0,High
110,166377,2019-09-04,out,False,880022,False,3,360,395,B,2019-08-01,35,1,Low
111,166377,2019-09-04,out,False,880022,True,1,0,55,B,2019-08-01,55,1,Low
112,166377,2019-09-04,out,True,880028,True,1,0,1,B,2019-08-01,1,0,High
113,166377,2019-09-04,out,False,880026,False,27,2176,2393,B,2019-08-01,217,0,High
114,166377,2019-09-04,in,False,880028,False,1,195,208,B,2019-08-01,13,0,High
115,166377,2019-09-04,out,False,880028,False,15,2539,2613,B,2019-08-01,74,0,High
116,166377,2019-09-04,out,False,880028,True,19,0,230,B,2019-08-01,230,0,High
117,166377,2019-09-05,out,False,880026,True,6,0,242,B,2019-08-01,242,0,High
118,166377,2019-09-05,out,False,880026,False,21,2748,2928,B,2019-08-01,180,0,High
119,166377,2019-09-05,in,False,880020,False,1,63,70,B,2019-08-01,7,0,High
120,166377,2019-09-05,out,False,880028,False,8,983,1010,B,2019-08-01,27,0,High
121,166377,2019-09-05,out,False,880028,True,9,0,247,B,2019-08-01,247,0,High
122,166377,2019-09-05,in,False,880026,False,1,63,65,B,2019-08-01,2,0,High
123,166377,2019-09-05,out,True,880022,True,2,0,0,B,2019-08-01,0,1,Low
124,166377,2019-09-05,out,False,880022,False,6,746,760,B,2019-08-01,14,1,Low
125,166377,2019-09-06,out,True,880022,True,2,0,0,B,2019-08-01,0,1,Low
126,166377,2019-09-06,out,False,880022,False,5,1243,1265,B,2019-08-01,22,1,Low
127,166377,2019-09-06,out,False,880028,True,9,0,392,B,2019-08-01,392,0,High
128,166377,2019-09-06,out,False,880028,False,13,1304,1441,B,2019-08-01,137,0,High
129,166377,2019-09-06,out,True,880026,True,1,0,3,B,2019-08-01,3,0,High
130,166377,2019-09-06,in,False,880020,False,1,48,56,B,2019-08-01,8,0,High
131,166377,2019-09-06,out,False,880022,True,4,0,112,B,2019-08-01,112,1,Low
132,166377,2019-09-06,out,False,880026,False,14,1045,1127,B,2019-08-01,82,0,High
133,166377,2019-09-09,out,False,880026,True,5,0,114,B,2019-08-01,114,0,High
134,166377,2019-09-09,out,False,880028,True,9,0,316,B,2019-08-01,316,0,High
135,166377,2019-09-09,out,False,880022,False,4,234,302,B,2019-08-01,68,1,Low
136,166377,2019-09-09,out,False,880026,False,16,1479,1616,B,2019-08-01,137,0,High
137,166377,2019-09-09,out,False,880022,True,5,0,192,B,2019-08-01,192,1,Low
138,166377,2019-09-09,in,False,880020,False,1,54,58,B,2019-08-01,4,0,High
139,166377,2019-09-09,in,False,880026,False,1,32,40,B,2019-08-01,8,0,High
140,166377,2019-09-09,out,False,880028,False,18,1601,1806,B,2019-08-01,205,0,High
141,166377,2019-09-10,out,False,880028,True,19,0,552,B,2019-08-01,552,0,High
142,166377,2019-09-10,out,False,880028,False,29,2082,2256,B,2019-08-01,174,0,High
143,166377,2019-09-10,out,False,880026,False,32,2451,2620,B,2019-08-01,169,0,High
144,166377,2019-09-10,out,False,880022,False,2,88,91,B,2019-08-01,3,1,Low
145,166377,2019-09-10,out,False,880026,True,6,0,178,B,2019-08-01,178,0,High
146,166377,2019-09-10,out,False,880022,True,1,0,54,B,2019-08-01,54,1,Low
147,166377,2019-09-11,out,False,880026,False,16,1452,1529,B,2019-08-01,77,0,High
148,166377,2019-09-11,out,False,880022,False,5,479,533,B,2019-08-01,54,1,Low
149,166377,2019-09-11,out,False,880028,False,22,2226,2423,B,2019-08-01,197,0,High
150,166377,2019-09-11,in,False,880028,False,1,152,158,B,2019-08-01,6,0,High
151,166377,2019-09-11,out,True,880022,True,2,0,0,B,2019-08-01,0,1,Low
152,166377,2019-09-11,out,False,880026,True,5,0,86,B,2019-08-01,86,0,High
153,166377,2019-09-11,out,False,880028,True,6,0,144,B,2019-08-01,144,0,High
154,166377,2019-09-11,out,False,880022,True,3,0,92,B,2019-08-01,92,1,Low
155,166377,2019-09-12,in,False,880028,False,1,69,73,B,2019-08-01,4,0,High
156,166377,2019-09-12,out,False,880028,True,10,0,297,B,2019-08-01,297,0,High
157,166377,2019-09-12,out,False,880022,True,6,0,232,B,2019-08-01,232,1,Low
158,166377,2019-09-12,out,False,880026,False,25,2311,2403,B,2019-08-01,92,0,High
159,166377,2019-09-12,out,False,880026,True,3,0,118,B,2019-08-01,118,0,High
160,166377,2019-09-12,out,False,880022,False,1,147,150,B,2019-08-01,3,1,Low
161,166377,2019-09-12,in,False,880020,False,1,45,49,B,2019-08-01,4,0,High
162,166377,2019-09-12,out,False,880028,False,16,1030,1161,B,2019-08-01,131,0,High
163,166377,2019-09-13,out,False,880026,False,25,1906,2034,B,2019-08-01,128,0,High
164,166377,2019-09-13,out,False,880028,True,3,0,63,B,2019-08-01,63,0,High
165,166377,2019-09-13,out,False,880022,True,3,0,116,B,2019-08-01,116,1,Low
166,166377,2019-09-13,out,False,880028,False,26,2569,2861,B,2019-08-01,292,0,High
167,166377,2019-09-13,out,False,880022,False,1,71,74,B,2019-08-01,3,1,Low
168,166377,2019-09-13,in,False,880020,False,1,39,43,B,2019-08-01,4,0,High
169,166377,2019-09-13,out,False,880026,True,11,0,138,B,2019-08-01,138,0,High
170,166377,2019-09-16,out,False,880028,True,15,0,229,B,2019-08-01,229,0,High
171,166377,2019-09-16,out,False,880026,False,31,2587,2797,B,2019-08-01,210,0,High
172,166377,2019-09-16,in,False,880026,False,1,28,34,B,2019-08-01,6,0,High
173,166377,2019-09-16,out,False,880028,False,22,3047,3224,B,2019-08-01,177,0,High
174,166377,2019-09-16,out,False,880026,True,7,0,99,B,2019-08-01,99,0,High
175,166377,2019-09-17,out,False,880022,False,1,126,128,B,2019-08-01,2,1,Low
176,166377,2019-09-17,in,False,880028,False,1,247,250,B,2019-08-01,3,0,High
177,166377,2019-09-17,out,False,880028,True,23,0,651,B,2019-08-01,651,0,High
178,166377,2019-09-17,out,False,880026,False,16,790,946,B,2019-08-01,156,0,High
179,166377,2019-09-17,out,False,880028,False,35,2507,2787,B,2019-08-01,280,0,High
180,166377,2019-09-17,out,False,880022,True,7,0,212,B,2019-08-01,212,1,Low
181,166377,2019-09-17,out,False,880026,True,2,0,0,B,2019-08-01,0,0,High
182,166377,2019-09-18,out,False,880026,False,4,299,315,B,2019-08-01,16,0,High
183,166377,2019-09-18,out,False,880022,True,2,0,103,B,2019-08-01,103,1,Low
184,166377,2019-09-18,out,False,880028,False,20,2447,2634,B,2019-08-01,187,0,High
185,166377,2019-09-18,out,False,880022,False,1,71,73,B,2019-08-01,2,1,Low
186,166377,2019-09-18,out,False,880026,True,2,0,38,B,2019-08-01,38,0,High
187,166377,2019-09-18,out,False,880028,True,7,0,201,B,2019-08-01,201,0,High
188,166377,2019-09-19,in,False,880028,False,1,21,23,B,2019-08-01,2,0,High
189,166377,2019-09-19,out,False,880026,True,8,0,192,B,2019-08-01,192,0,High
190,166377,2019-09-19,out,False,880022,False,2,359,364,B,2019-08-01,5,1,Low
191,166377,2019-09-19,out,False,880022,True,8,0,251,B,2019-08-01,251,1,Low
192,166377,2019-09-19,out,True,880022,True,1,0,1,B,2019-08-01,1,1,Low
193,166377,2019-09-19,out,False,880028,True,23,0,700,B,2019-08-01,700,0,High
194,166377,2019-09-19,out,False,880028,False,18,1638,1775,B,2019-08-01,137,0,High
195,166377,2019-09-19,out,False,880026,False,30,2666,2808,B,2019-08-01,142,0,High
196,166377,2019-09-20,out,False,880028,True,17,0,552,B,2019-08-01,552,0,High
197,166377,2019-09-20,out,False,880022,False,1,219,221,B,2019-08-01,2,1,Low
198,166377,2019-09-20,out,False,880022,True,10,0,509,B,2019-08-01,509,1,Low
199,166377,2019-09-20,out,False,880026,False,28,2310,2473,B,2019-08-01,163,0,High
200,166377,2019-09-20,out,False,880028,False,17,1683,1848,B,2019-08-01,165,0,High
201,166377,2019-09-20,in,False,880020,False,1,17,28,B,2019-08-01,11,0,High
202,166377,2019-09-20,out,False,880026,True,15,0,393,B,2019-08-01,393,0,High
203,166377,2019-09-23,out,False,880028,True,24,0,509,B,2019-08-01,509,0,High
204,166377,2019-09-23,out,False,880026,True,13,0,401,B,2019-08-01,401,0,High
205,166377,2019-09-23,out,False,880028,False,24,2181,2368,B,2019-08-01,187,0,High
206,166377,2019-09-23,out,False,880022,True,2,0,13,B,2019-08-01,13,1,Low
207,166377,2019-09-23,out,True,880028,True,1,0,2,B,2019-08-01,2,0,High
208,166377,2019-09-23,in,False,880026,False,1,43,49,B,2019-08-01,6,0,High
209,166377,2019-09-23,out,False,880022,False,3,351,385,B,2019-08-01,34,1,Low
210,166377,2019-09-23,out,False,880026,False,21,2375,2485,B,2019-08-01,110,0,High
211,166377,2019-09-24,out,False,880026,True,8,0,100,B,2019-08-01,100,0,High
212,166377,2019-09-24,in,False,880028,False,3,158,169,B,2019-08-01,11,0,High
213,166377,2019-09-24,out,False,880028,True,13,0,520,B,2019-08-01,520,0,High
214,166377,2019-09-24,out,False,880026,False,16,1666,1767,B,2019-08-01,101,0,High
215,166377,2019-09-24,out,False,880022,False,3,353,366,B,2019-08-01,13,1,Low
216,166377,2019-09-24,out,False,880022,True,1,0,38,B,2019-08-01,38,1,Low
217,166377,2019-09-24,out,False,880028,False,26,2570,2755,B,2019-08-01,185,0,High
218,166377,2019-09-25,out,False,880022,False,7,1316,1352,B,2019-08-01,36,1,Low
219,166377,2019-09-25,out,False,880026,False,18,1862,1925,B,2019-08-01,63,0,High
220,166377,2019-09-25,out,False,880028,True,14,0,193,B,2019-08-01,193,0,High
221,166377,2019-09-25,out,False,880028,False,22,1216,1352,B,2019-08-01,136,0,High
222,166377,2019-09-25,out,False,880022,True,8,0,423,B,2019-08-01,423,1,Low
223,166377,2019-09-25,out,False,880026,True,6,0,50,B,2019-08-01,50,0,High
224,166377,2019-09-26,out,False,880028,True,29,0,553,B,2019-08-01,553,0,High
225,166377,2019-09-26,out,False,880026,False,16,1250,1308,B,2019-08-01,58,0,High
226,166377,2019-09-26,out,False,880028,False,26,2303,2570,B,2019-08-01,267,0,High
227,166377,2019-09-26,out,False,880026,True,14,0,87,B,2019-08-01,87,0,High
228,166377,2019-09-26,in,False,880028,False,1,88,96,B,2019-08-01,8,0,High
229,166377,2019-09-26,out,False,880022,False,3,2411,2419,B,2019-08-01,8,1,Low
230,166377,2019-09-27,out,False,880026,False,11,1854,1897,B,2019-08-01,43,0,High
231,166377,2019-09-27,out,False,880026,True,3,0,87,B,2019-08-01,87,0,High
232,166377,2019-09-27,out,False,880022,False,1,84,86,B,2019-08-01,2,1,Low
233,166377,2019-09-27,out,False,880022,True,1,0,44,B,2019-08-01,44,1,Low
234,166377,2019-09-27,in,False,880026,False,1,6,12,B,2019-08-01,6,0,High
235,166377,2019-09-27,out,False,880028,True,21,0,475,B,2019-08-01,475,0,High
236,166377,2019-09-27,out,False,880028,False,19,921,1171,B,2019-08-01,250,0,High
237,166377,2019-09-30,out,False,880020,False,4,724,749,B,2019-08-01,25,0,High
